descricao,wracc,tamanho_sg,taxa_atraso_sg,taxa_atraso_geral,cobertura,lift,lift
interestadual=='interestadual' AND seller_state=='SP',0.010727683818023677,37680,0.0951963906581741,0.06773090079817559,0.3905877474862652,1.405509000121527,1.405509000121527
mes_compra=='3',0.008264098976658248,9549,0.15122002303906168,0.06773090079817559,0.09898414014719602,2.232659262714766,2.232659262714766
interestadual=='interestadual' AND mes_compra=='3',0.008182225963040366,6196,0.19512588766946418,0.06773090079817559,0.0642272208976884,2.8808990485878803,2.8808990485878803
interestadual=='interestadual',0.008161397207396,61769,0.0804772620570189,0.06773090079817559,0.6402923188556028,1.18819122599336,1.18819122599336
customer_state=='RJ' AND interestadual=='interestadual',0.007030933101540244,11394,0.12725996138318413,0.06773090079817559,0.11810925676376076,1.8789054904554292,1.8789054904554292
mes_compra=='3' AND seller_state=='SP',0.006986334837553553,6792,0.16696113074204946,0.06773090079817559,0.07040530734943505,2.4650658528750404,2.4650658528750404
interestadual=='interestadual' AND mes_compra=='3' AND seller_state=='SP',0.006826524785592771,3801,0.24098921336490398,0.06773090079817559,0.03940085000518296,3.558039395976781,3.558039395976781
customer_state=='RJ',0.006826198560615025,12350,0.12105263157894737,0.06773090079817559,0.12801907328703224,1.7872585504164453,1.7872585504164453
customer_state=='RJ' AND seller_state=='SP',0.00621386245763951,8158,0.14121108114734005,0.06773090079817559,0.0845651497874987,2.0848841442124115,2.0848841442124115
customer_state=='RJ' AND interestadual=='interestadual' AND seller_state=='SP',0.00621386245763951,8158,0.14121108114734005,0.06773090079817559,0.0845651497874987,2.0848841442124115,2.0848841442124115
frete_cat=='frete_alto' AND interestadual=='interestadual',0.00496561458717352,21393,0.09012293740943299,0.06773090079817559,0.22175805950036281,1.3306029647823694,1.3306029647823694
frete_cat=='frete_alto',0.004932854980350264,24112,0.08746682149966821,0.06773090079817559,0.24994298745724058,1.2913872467206906,1.2913872467206906
frete_cat=='frete_alto' AND seller_state=='SP',0.00488365647138753,13788,0.10190020307513781,0.06773090079817559,0.14292526173940084,1.5044861632474051,1.5044861632474051
frete_cat=='frete_alto' AND interestadual=='interestadual' AND seller_state=='SP',0.004738119944177706,11633,0.10702312387174417,0.06773090079817559,0.12058671089457862,1.5801225527865261,1.5801225527865261
interestadual=='interestadual' AND mes_compra=='2',0.0044444370899360906,5555,0.14491449144914492,0.06773090079817559,0.05758266818700114,2.1395624410925946,2.1395624410925946
mes_compra=='2',0.004343990528128691,8208,0.11878654970760234,0.06773090079817559,0.08508344563076604,1.7538014157166206,1.7538014157166206
mes_compra=='11',0.004253935886626892,7288,0.12403951701427003,0.06773090079817559,0.07554680211464704,1.8313578522140543,1.8313578522140543
interestadual=='interestadual' AND mes_compra=='11',0.004241551157218101,4840,0.15227272727272728,0.06773090079817559,0.05017103762827822,2.2482017141108055,2.2482017141108055
mes_compra=='11' AND seller_state=='SP',0.00408560143416065,5195,0.14359961501443697,0.06773090079817559,0.05385093811547632,2.120149198108775,2.120149198108775
interestadual=='interestadual' AND mes_compra=='11' AND seller_state=='SP',0.003965876867327731,3018,0.19449966865473825,0.06773090079817559,0.03128433709961646,2.871653357074166,2.871653357074166
